Index,ISO,Country
1,4,Afghanistan
2,8,Albania
3,12,Algeria
4,20,Andorra
5,24,Angola
6,660,Anguilla
7,28,Antigua and Barbuda
8,32,Argentina
9,51,Armenia
10,533,Aruba
11,36,Australia
12,40,Austria
13,31,Azerbaijan
14,44,Bahamas
15,48,Bahrain
16,50,Bangladesh
17,52,Barbados
18,112,Belarus
19,56,Belgium
20,58,Belgium-Luxembourg
21,84,Belize
22,204,Benin
23,60,Bermuda
24,64,Bhutan
25,68,Bolivia (Plurinational State of)
26,535,Bonaire
27,70,Bosnia Herzegovina
28,72,Botswana
29,92,Br. Virgin Isds
30,76,Brazil
31,96,Brunei Darussalam
32,100,Bulgaria
33,854,Burkina Faso
34,108,Burundi
35,132,Cabo Verde
36,116,Cambodia
37,120,Cameroon
38,124,Canada
39,136,Cayman Isds
40,140,Central African Rep.
41,148,Chad
42,152,Chile
43,156,China
44,344,"China, Hong Kong SAR"
45,446,"China, Macao SAR"
46,170,Colombia
47,174,Comoros
48,178,Congo
49,184,Cook Isds
50,188,Costa Rica
51,384,Cï¿½ï¿½te d'Iv
52,191,Croatia
53,192,Cuba
54,531,Curaï¿½ï
55,196,Cyprus
56,203,Czechia
57,200,Czechoslovakia
58,408,Dem. People's Rep. of Korea
59,180,Dem. Rep. of the Congo
60,208,Denmark
61,262,Djibouti
62,212,Dominica
63,214,Dominican Rep.
64,588,East and West Pakistan
65,218,Ecuador
66,818,Egypt
67,222,El Salvador
68,226,Equatorial Guinea
69,232,Eritrea
70,233,Estonia
71,231,Ethiopia
72,97,European Union
73,234,Faeroe Isds
74,238,Falkland Isds (Malvinas)
75,242,Fiji
76,246,Finland
77,886,Fmr Arab Rep. of Yemen
78,278,Fmr Dem. Rep. of Germany
79,866,Fmr Dem. Rep. of Vietnam
80,720,Fmr Dem. Yemen
81,230,Fmr Ethiopia
82,280,Fmr Fed. Rep. of Germany
83,582,Fmr Pacific Isds
84,590,"Fmr Panama, excl.Canal Zone"
85,592,Fmr Panama-Canal-Zone
86,868,Fmr Rep. of Vietnam
87,717,Fmr Rhodesia Nyas
88,736,Fmr Sudan
89,835,Fmr Tanganyika
90,810,Fmr USSR
91,890,Fmr Yugoslavia
92,836,Fmr Zanzibar and Pemba Isd
93,251,France
94,254,French Guiana
95,258,French Polynesia
96,583,FS Micronesia
97,266,Gabon
98,270,Gambia
99,268,Georgia
100,276,Germany
101,288,Ghana
102,292,Gibraltar
103,300,Greece
104,304,Greenland
105,308,Grenada
106,312,Guadeloupe
107,320,Guatemala
108,324,Guinea
109,624,Guinea-Bissau
110,328,Guyana
111,332,Haiti
112,336,Holy See (Vatican City State)
113,340,Honduras
114,348,Hungary
115,352,Iceland
116,699,India
117,356,"India, excl. Sikkim"
118,360,Indonesia
119,364,Iran
120,368,Iraq
