code,description
010111,"Horses: live, pure-bred breeding animals"
010119,"Horses: live, other than pure-bred breeding animals"
010120,"Asses, mules and hinnies: live"
010210,"Bovine animals: live, pure-bred breeding animals"
010290,"Bovine animals: live, other than pure-bred breeding animals"
010310,"Swine: live, pure-bred breeding animals"
010391,"Swine: live, (other than pure-bred breeding animals), weighing less than 50kg"
010392,"Swine: live, (other than pure-bred breeding animals), weighing 50kg or more"
010410,Sheep: live
010420,Goats: live
010511,"Poultry: live, fowls of the species gallus domesticus, weighing not more than 185g"
010519,"Poultry: live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls"
010591,"Poultry: live, fowls of the species gallus domesticus, weighing more than 185g"
010599,"Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
010600,"Animals: live, n.e.s. in chapter 1"
020110,"Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled"
020120,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020130,"Meat: of bovine animals, boneless cuts, fresh or chilled"
020210,"Meat: of bovine animals, carcasses and half-carcasses, frozen"
020220,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
020230,"Meat: of bovine animals, boneless cuts, frozen"
020311,"Meat: of swine, carcasses and half-carcasses, fresh or chilled"
020312,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled"
020319,"Meat: of swine, n.e.s. in item no. 0203.1, fresh or chilled"
020321,"Meat: of swine, carcasses and half-carcasses, frozen"
020322,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen"
020329,"Meat: of swine, n.e.s. in item no. 0203.2, frozen"
020410,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled"
020421,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
020422,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020423,"Meat: of sheep (including lamb), boneless cuts, fresh or chilled"
020430,"Meat: of sheep, lamb carcasses and half-carcasses, frozen"
020441,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen"
020442,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen"
020443,"Meat: of sheep (including lamb), boneless cuts, frozen"
020450,"Meat: of goats, fresh, chilled or frozen"
020500,"Meat: of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,"Offal, edible: of bovine animals, fresh or chilled"
020621,"Offal, edible: of bovine animals, tongues, frozen"
020622,"Offal, edible: of bovine animals, livers, frozen"
020629,"Offal, edible: of bovine animals, (other than tongues and livers), frozen"
020630,"Offal, edible: of swine, fresh or chilled"
020641,"Offal, edible: of swine, livers, frozen"
020649,"Offal, edible: of swine, (other than livers), frozen"
020680,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
020690,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, frozen"
