2021-07-02 12:24:37,018 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:37,030 | INFO | MainThread | utils.py:157 -    _init_num_threads() | NumExpr defaulting to 8 threads.
2021-07-02 12:24:37,031 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Manganese
2021-07-02 12:24:37,509 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Manganese
2021-07-02 12:24:37,532 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:37,532 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:37,532 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=2602&rg=1&fmt=json
2021-07-02 12:24:37,967 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:37,969 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:37,976 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Iron
2021-07-02 12:24:38,162 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Iron
2021-07-02 12:24:38,193 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:38,193 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:38,193 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=2601&rg=1&fmt=json
2021-07-02 12:24:38,481 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:38,486 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:38,491 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Copper
2021-07-02 12:24:38,626 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Copper
2021-07-02 12:24:38,659 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:38,659 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:38,659 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=2603&rg=1&fmt=json
2021-07-02 12:24:38,924 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:38,928 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:38,934 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Barytes
2021-07-02 12:24:39,082 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Barytes
2021-07-02 12:24:39,106 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:39,106 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:39,106 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=2511&rg=1&fmt=json
2021-07-02 12:24:39,406 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:39,410 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:39,415 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Bismuth
2021-07-02 12:24:39,538 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Bismuth
2021-07-02 12:24:39,549 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:39,549 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:39,549 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=8106&rg=1&fmt=json
2021-07-02 12:24:39,832 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:39,838 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:39,854 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Gold
2021-07-02 12:24:40,034 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Gold
2021-07-02 12:24:40,086 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:40,086 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:40,086 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=7108&rg=1&fmt=json
2021-07-02 12:24:40,380 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:40,383 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:40,389 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Molybdenum
2021-07-02 12:24:40,511 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Molybdenum
2021-07-02 12:24:40,522 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:40,522 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:40,522 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=2613&rg=1&fmt=json
2021-07-02 12:24:40,809 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:40,811 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:40,816 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Nickel
2021-07-02 12:24:40,965 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Nickel
2021-07-02 12:24:40,982 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:40,983 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:40,983 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=2604&rg=1&fmt=json
2021-07-02 12:24:41,260 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:41,265 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:41,270 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Zinc
2021-07-02 12:24:41,424 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Zinc
2021-07-02 12:24:41,454 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:41,455 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:41,455 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=2608&rg=1&fmt=json
2021-07-02 12:24:41,741 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:41,744 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:41,749 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Cadmium
2021-07-02 12:24:41,890 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Cadmium
2021-07-02 12:24:41,908 | DEBUG | MainThread | GeoPolRisk.py:235 -               select() | The size of the returned row
2021-07-02 12:24:41,908 | DEBUG | MainThread | GeoPolRisk.py:249 -              getdata() | 'main' object has no attribute 'row'
2021-07-02 12:24:41,909 | DEBUG | MainThread | api.py:44 -         traderequest() | The request made to COMTRADE is https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2002&r=36&p=all&cc=8107&rg=1&fmt=json
2021-07-02 12:24:42,209 | DEBUG | MainThread | api.py:156 -     TotalCalculation() | HTTP Error 409: Conflict
2021-07-02 12:24:42,212 | DEBUG | MainThread | GeoPolRisk.py:89 -                  run() | The user name is akoyamparamb
2021-07-02 12:24:42,222 | DEBUG | MainThread | api.py:148 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Rare earth
2021-07-02 12:24:42,350 | DEBUG | MainThread | api.py:107 -        productionQTY() | The metal is Rare earth
