2021-07-03 19:50:07,657 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 19:50:20,171 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 19:50:32,963 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 19:50:50,439 | DEBUG | MainThread | GeoPolRisk.py:166 -            simplerun() | Unalignable boolean Series provided as indexer (index of the boolean Series and of the indexed object do not match).
2021-07-03 19:52:37,970 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 19:52:49,588 | DEBUG | MainThread | GeoPolRisk.py:165 -            simplerun() | Unalignable boolean Series provided as indexer (index of the boolean Series and of the indexed object do not match).
2021-07-03 20:04:36,747 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 20:04:58,217 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 20:05:14,571 | DEBUG | MainThread | GeoPolRisk.py:165 -            simplerun() | Unalignable boolean Series provided as indexer (index of the boolean Series and of the indexed object do not match).
2021-07-03 20:21:27,591 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 20:21:40,636 | INFO | MainThread | utils.py:157 -    _init_num_threads() | NumExpr defaulting to 8 threads.
2021-07-03 20:21:40,638 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2010 for the Country EU28 for the resource Cobalt
2021-07-03 20:21:46,126 | DEBUG | MainThread | api.py:167 -     TotalCalculation() | Complete Transaction
2021-07-03 20:21:46,133 | DEBUG | MainThread | GeoPolRisk.py:251 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-07-03 20:21:46,133 | DEBUG | MainThread | GeoPolRisk.py:252 -               endlog() | Number of total attempts 1
2021-07-03 20:24:38,133 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 20:24:48,389 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2010 for the Country EU28 for the resource Cobalt
2021-07-03 20:24:48,516 | DEBUG | MainThread | GeoPolRisk.py:232 -              getdata() | Requested information exists in database.
2021-07-03 20:24:48,516 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-03 20:27:02,240 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: anish
2021-07-03 20:27:13,300 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2010 for the Country EU28 for the resource Cobalt
2021-07-03 20:27:13,395 | DEBUG | MainThread | GeoPolRisk.py:232 -              getdata() | Requested information exists in database.
2021-07-03 20:27:13,395 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-03 20:27:13,399 | DEBUG | MainThread | GeoPolRisk.py:252 -               endlog() | Number of successfull COMTRADE API attempts 0
2021-07-03 20:27:13,399 | DEBUG | MainThread | GeoPolRisk.py:253 -               endlog() | Number of total attempts 0
