2021-07-13 16:15:30,273 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: ploubet001
2021-07-13 16:15:30,288 | INFO | MainThread | utils.py:157 -    _init_num_threads() | NumExpr defaulting to 8 threads.
2021-07-13 16:15:30,288 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Manganese
2021-07-13 16:15:30,750 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:30,750 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:30,750 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Manganese
2021-07-13 16:15:30,920 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:30,920 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:30,936 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Manganese
2021-07-13 16:15:31,082 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:31,082 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:31,097 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Manganese
2021-07-13 16:15:31,251 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:31,251 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:31,267 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Manganese
2021-07-13 16:15:31,427 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:31,427 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:31,429 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Manganese
2021-07-13 16:15:31,621 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:31,621 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:31,637 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Manganese
2021-07-13 16:15:31,773 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:31,773 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:31,789 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Manganese
2021-07-13 16:15:31,953 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:31,953 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:31,960 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Manganese
2021-07-13 16:15:32,122 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:32,122 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:32,132 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Manganese
2021-07-13 16:15:32,294 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:32,294 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:32,305 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Manganese
2021-07-13 16:15:32,471 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:32,471 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:32,481 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Manganese
2021-07-13 16:15:32,622 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:32,622 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:32,630 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Manganese
2021-07-13 16:15:32,788 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:32,788 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:32,798 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Manganese
2021-07-13 16:15:32,960 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:32,960 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:32,971 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2016 for the Country Australia for the resource Manganese
2021-07-13 16:15:33,132 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 16:15:33,132 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 16:15:33,134 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2017 for the Country Australia for the resource Manganese
2021-07-13 16:15:33,275 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
