2021-10-11 17:42:30,131 | DEBUG | MainThread | __init__.py:56 -             <module>() | Username: akoyamparamb
2021-10-11 17:42:30,132 | DEBUG | MainThread | __init__.py:67 -             <module>() | Import database accessed
2021-10-11 17:43:02,744 | DEBUG | MainThread | __init__.py:56 -             <module>() | Username: akoyamparamb
2021-10-11 17:43:02,744 | DEBUG | MainThread | __init__.py:67 -             <module>() | Import database accessed
2021-10-11 17:43:15,968 | DEBUG | MainThread | __init__.py:56 -             <module>() | Username: akoyamparamb
2021-10-11 17:43:15,968 | DEBUG | MainThread | __init__.py:67 -             <module>() | Import database accessed
2021-10-11 17:43:16,044 | DEBUG | MainThread | main.py:49 -             __init__() | Username: akoyamparamb
2021-10-11 17:43:16,044 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-11 17:43:16,044 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-11 17:43:31,276 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-11 17:43:31,276 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-11 17:43:31,276 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country EU28 for the resource 810520
2021-10-11 17:46:47,374 | DEBUG | MainThread | __init__.py:56 -             <module>() | Username: akoyamparamb
2021-10-11 17:46:47,374 | DEBUG | MainThread | __init__.py:67 -             <module>() | Import database accessed
2021-10-11 17:49:43,042 | DEBUG | MainThread | __init__.py:56 -             <module>() | Username: akoyamparamb
2021-10-11 17:49:43,042 | DEBUG | MainThread | __init__.py:67 -             <module>() | Import database accessed
2021-10-11 17:49:43,091 | DEBUG | MainThread | main.py:49 -             __init__() | Username: akoyamparamb
2021-10-11 17:49:43,091 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-11 17:49:43,092 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-11 17:49:56,867 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-11 17:49:56,867 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-11 17:49:56,867 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-11 17:51:25,642 | DEBUG | MainThread | __init__.py:56 -             <module>() | Username: akoyamparamb
2021-10-11 17:51:25,642 | DEBUG | MainThread | __init__.py:67 -             <module>() | Import database accessed
2021-10-11 17:51:25,661 | DEBUG | MainThread | main.py:49 -             __init__() | Username: akoyamparamb
2021-10-11 17:51:25,661 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-11 17:51:25,661 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-11 17:51:41,166 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-11 17:51:41,166 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-11 17:51:41,181 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-11 17:53:37,149 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: akoyamparamb
2021-10-11 17:53:37,149 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-11 17:53:37,208 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: akoyamparamb
2021-10-11 17:53:37,208 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-11 17:53:37,223 | DEBUG | MainThread | main.py:49 -             __init__() | Username: akoyamparamb
2021-10-11 17:53:37,223 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-11 17:53:37,223 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-11 17:54:44,000 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-11 17:54:44,000 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-11 17:54:44,001 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
