2021-10-13 14:32:55,830 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:32:55,849 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:32:56,152 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 14:32:56,152 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-13 14:32:56,152 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:33:14,587 | DEBUG | MainThread | main.py:318 -          createTable() | Database not found
2021-10-13 14:33:14,587 | DEBUG | MainThread | main.py:323 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:33:14,589 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country Germany for the resource Cobalt
2021-10-13 14:36:48,449 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:36:48,450 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:36:48,521 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:36:48,522 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:36:48,545 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 14:36:48,545 | DEBUG | MainThread | main.py:319 -          createTable() | Database not found
2021-10-13 14:36:48,545 | DEBUG | MainThread | main.py:324 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:37:09,612 | DEBUG | MainThread | main.py:319 -          createTable() | Database not found
2021-10-13 14:37:09,612 | DEBUG | MainThread | main.py:324 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:37:09,612 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 14:37:10,131 | DEBUG | MainThread | gprs.py:60 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2010&r=97&p=all&cc=810520&rg=1&fmt=json
2021-10-13 14:39:23,070 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:39:23,070 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:39:23,092 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 14:39:23,092 | DEBUG | MainThread | main.py:319 -          createTable() | Database not found
2021-10-13 14:39:23,092 | DEBUG | MainThread | main.py:324 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:39:37,323 | DEBUG | MainThread | main.py:319 -          createTable() | Database not found
2021-10-13 14:39:37,323 | DEBUG | MainThread | main.py:324 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:39:37,324 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 14:39:37,452 | DEBUG | MainThread | gprs.py:60 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2010&r=97&p=all&cc=810520&rg=1&fmt=json
2021-10-13 14:39:37,695 | DEBUG | MainThread | gprs.py:300 -     TotalCalculation() | Complete Transaction
2021-10-13 14:41:48,646 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:41:48,646 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:41:48,670 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 14:41:48,670 | DEBUG | MainThread | main.py:319 -          createTable() | Database not found
2021-10-13 14:41:48,670 | DEBUG | MainThread | main.py:324 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:42:00,826 | DEBUG | MainThread | main.py:319 -          createTable() | Database not found
2021-10-13 14:42:00,827 | DEBUG | MainThread | main.py:324 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:42:00,827 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 14:42:00,921 | DEBUG | MainThread | gprs.py:60 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2010&r=97&p=all&cc=810520&rg=1&fmt=json
2021-10-13 14:42:01,136 | DEBUG | MainThread | gprs.py:300 -     TotalCalculation() | Complete Transaction
2021-10-13 14:42:01,139 | DEBUG | MainThread | main.py:391 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 14:42:01,139 | DEBUG | MainThread | main.py:392 -               endlog() | Number of total attempts 1
2021-10-13 14:42:01,139 | DEBUG | MainThread | main.py:393 -               endlog() | Number of empty dataframes 0
2021-10-13 14:42:01,144 | DEBUG | MainThread | main.py:391 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 14:42:01,145 | DEBUG | MainThread | main.py:392 -               endlog() | Number of total attempts 1
2021-10-13 14:42:01,145 | DEBUG | MainThread | main.py:393 -               endlog() | Number of empty dataframes 0
2021-10-13 14:52:02,000 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:52:02,020 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:52:02,189 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:52:02,189 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:52:02,263 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 14:52:02,263 | DEBUG | MainThread | main.py:319 -          createTable() | Database not found
2021-10-13 14:52:02,264 | DEBUG | MainThread | main.py:324 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:52:17,275 | DEBUG | MainThread | main.py:319 -          createTable() | Database not found
2021-10-13 14:52:17,275 | DEBUG | MainThread | main.py:324 -          createTable() | local variable 'cursor' referenced before assignment
2021-10-13 14:52:17,275 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 14:52:17,586 | DEBUG | MainThread | gprs.py:60 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2010&r=97&p=all&cc=810520&rg=1&fmt=json
2021-10-13 14:52:17,914 | DEBUG | MainThread | gprs.py:300 -     TotalCalculation() | Complete Transaction
2021-10-13 14:52:17,914 | DEBUG | MainThread | main.py:391 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 14:52:17,914 | DEBUG | MainThread | main.py:392 -               endlog() | Number of total attempts 1
2021-10-13 14:52:17,914 | DEBUG | MainThread | main.py:393 -               endlog() | Number of empty dataframes 0
2021-10-13 14:52:17,915 | DEBUG | MainThread | main.py:391 -               endlog() | Number of successfull COMTRADE API attempts 1
2021-10-13 14:52:17,915 | DEBUG | MainThread | main.py:392 -               endlog() | Number of total attempts 1
2021-10-13 14:52:17,915 | DEBUG | MainThread | main.py:393 -               endlog() | Number of empty dataframes 0
2021-10-13 14:55:03,231 | DEBUG | MainThread | __init__.py:55 -             <module>() | Username: anish
2021-10-13 14:55:03,231 | DEBUG | MainThread | __init__.py:66 -             <module>() | Import database accessed
2021-10-13 14:55:03,251 | DEBUG | MainThread | main.py:49 -             __init__() | Username: anish
2021-10-13 14:55:03,252 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 14:55:12,963 | DEBUG | MainThread | main.py:325 -          createTable() | table "recordData" already exists
2021-10-13 14:55:12,963 | DEBUG | MainThread | gprs.py:247 -     TotalCalculation() | The period is 2010 for the Country European Union for the resource Cobalt
2021-10-13 14:55:13,058 | DEBUG | MainThread | gprs.py:60 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2010&r=97&p=all&cc=810520&rg=1&fmt=json
2021-10-13 14:55:13,316 | DEBUG | MainThread | gprs.py:300 -     TotalCalculation() | Complete Transaction
2021-10-13 14:55:13,316 | DEBUG | MainThread | main.py:392 -               endlog() | Number of successfull COMTRADE API attempts 1
