,Year,Resource,Country,Recycling Rate,Recycling Scenario,Risk,GeoPolRisk Characterization Factor,HHI,Weighted Trade AVerage
0,2002,Manganese,Australia,0,0,0.000930021922639396,0.438040325563155,0.119,0.00781531027428064
1,2003,Manganese,Australia,0,0,0.000916663700200622,0.549081556420173,0.113,0.00811206814336834
2,2004,Manganese,Australia,0,0,0.00118039419269196,1.28662967003423,0.116,0.0101758120059651
3,2005,Manganese,Australia,0,0,0.00108635218639941,0.773482756716377,0.129,0.00842133477828996
4,2006,Manganese,Australia,0,0,0.000441184970310381,0.352947976248305,0.136,0.00324400713463516
5,2007,Manganese,Australia,0,0,0.000660647788579037,0.786170868409054,0.153,0.00431795940247736
6,2008,Manganese,Australia,0,0,0.000827666186323988,1.96984552345109,0.152,0.00544517227844729
7,2009,Manganese,Australia,0,0,1.76473593786752e-05,0.024176882348785,0.173,0.000102007857680204
8,2010,Manganese,Australia,0,0,0.000696578630931961,1.04486794639794,0.15,0.00464385753954641
9,2011,Manganese,Australia,0,0,0.000496414305356247,0.72476488582012,0.16,0.00310258940847654
10,2012,Manganese,Australia,0,0,0.000700194575465488,0.980272405651683,0.165,0.00424360348766962
11,2013,Manganese,Australia,0,0,0.0,0.0,0.159,0.0
12,2014,Manganese,Australia,0,0,0.0014106255620992,1.90434450883392,0.174,0.00810704346034024
13,2015,Manganese,Australia,0,0,0.00165862016900753,2.00693040449911,0.195,0.00850574445644885
14,2016,Manganese,Australia,0,0,5.60078242093108e-05,,0.184,0.000304390348963646
15,2017,Manganese,Australia,0,0,0.00136709208738065,,0.153,0.0089352424011807
16,2002,Iron,Australia,0,0,0.0,0.0,0.129,0.0
17,2003,Iron,Australia,0,0,0.00168597303504153,0.0676580978962167,0.131,0.012870023168256
18,2004,Iron,Australia,0,0,0.00148591410614999,0.066227191711105,0.137,0.0108460883660583
19,2005,Iron,Australia,0,0,0.0,0.0,0.151,0.0
20,2006,Iron,Australia,0,0,0.00156606442146603,0.120743566895031,0.172,0.00910502570619784
21,2007,Iron,Australia,0,0,0.00117929084400863,0.151987003975832,0.186,0.00634027335488509
22,2008,Iron,Australia,0,0,0.000996515791374279,0.151161480393564,0.198,0.00503290803724383
23,2009,Iron,Australia,0,0,0.000953516355826031,0.0790560410615362,0.212,0.00449771865955675
24,2010,Iron,Australia,0,0,0.00143205765774466,0.208879929958637,0.224,0.00639311454350297
25,2011,Iron,Australia,0,0,0.00140377442467494,0.21216646654537,0.249,0.00563764829186722
26,2012,Iron,Australia,0,0,0.000602424132517315,0.0702607265754944,0.249,0.00241937402617396
27,2013,Iron,Australia,0,0,0.000514433906477946,0.0634811440593785,0.26,0.0019785919479921
28,2014,Iron,Australia,0,0,0.000548111558547267,0.0491053145302497,0.263,0.00208407436709987
29,2015,Iron,Australia,0,0,0.000157282482513235,0.00897768410185547,0.254,0.000619222372099351
30,2016,Iron,Australia,0,0,8.88706181371541e-05,0.00552153150486139,0.24,0.000370294242238142
31,2017,Iron,Australia,0,0,4.10997009968696e-05,0.00303069195150917,0.228,0.000180261846477498
32,2002,Copper,Australia,0,0,0.0,0.0,0.148,0.0
33,2003,Copper,Australia,0,0,0.0,0.0,0.16,0.0
34,2004,Copper,Australia,0,0,7.00702518804901e-07,0.0023617879098838,0.168,4.17084832621965e-06
35,2005,Copper,Australia,0,0,0.0,0.0,0.156,0.0
36,2006,Copper,Australia,0,0,5.38298778313261e-08,0.000402387487868394,0.156,3.45063319431578e-07
37,2007,Copper,Australia,0,0,1.27478045908328e-06,0.00950875316576189,0.157,8.11962075849225e-06
38,2008,Copper,Australia,0,0,2.14119328301388e-07,0.00144834381930297,0.148,1.44675221825262e-06
39,2009,Copper,Australia,0,0,0.0,0.0,0.147,0.0
40,2010,Copper,Australia,0,0,8.48182557359954e-06,0.0639086896954463,0.143,5.93134655496472e-05
41,2011,Copper,Australia,0,0,0.0,0.0,0.139,0.0
42,2012,Copper,Australia,0,0,0.000175181952434494,1.26603821842457,0.137,0.00127870038273353
43,2013,Copper,Australia,0,0,9.789319736026429e-11,6.54328899407716e-07,0.132,7.41615131517154e-10
44,2014,Copper,Australia,0,0,1.21320447421724e-06,0.00769442181251484,0.13,9.33234210936342e-06
45,2015,Copper,Australia,0,0,0.00162173599935873,9.13212515126895,0.123,0.0131848455232417
46,2016,Copper,Australia,0,0,0.00224430041062625,11.6182045937135,0.111,0.0202189226182545
47,2017,Copper,Australia,0,0,0.00143922001331218,9.124309471596,0.113,0.012736460294798
48,2002,Barytes,Australia,0,0,0.0134947553056716,0.628855597244296,0.242,0.0557634516763289
49,2003,Barytes,Australia,0,0,0.0602419132628039,2.74703124478386,0.283,0.212868951458671
50,2004,Barytes,Australia,0,0,0.0251157949820554,1.24072027211354,0.266,0.0944202818874264
51,2005,Barytes,Australia,0,0,0.0517771305394232,2.84774217966827,0.298,0.173748760199407
52,2006,Barytes,Australia,0,0,0.05130512443575,2.873086968402,0.302,0.169884517999172
53,2007,Barytes,Australia,0,0,0.0751888439876793,5.40607788271414,0.326,0.230640625729078
54,2008,Barytes,Australia,0,0,0.0566939921310967,4.32575159960268,0.311,0.182295794633751
55,2009,Barytes,Australia,0,0,0.0486870937391966,4.14327167720563,0.236,0.206301244657613
56,2010,Barytes,Australia,0,0,0.0626993252930541,5.40468184026126,0.263,0.238400476399445
57,2011,Barytes,Australia,0,0,0.0897829310842956,8.85259700491154,0.266,0.337529816106374
58,2012,Barytes,Australia,0,0,0.10018368571538,14.1258996858686,0.247,0.405601966459029
59,2013,Barytes,Australia,0,0,0.0771196103042507,10.2569081704653,0.2,0.385598051521253
60,2014,Barytes,Australia,0,0,0.0891434102833931,11.5886433368411,0.24,0.371430876180805
61,2015,Barytes,Australia,0,0,0.0847358786983957,10.5919848372995,0.216,0.392295734714795
62,2016,Barytes,Australia,0,0,0.0674423813528887,8.76750957587553,0.214,0.315151314733125
63,2002,Bismuth,Australia,0,0,0.0214352975159027,148.332258810047,0.087,0.246382730067847
64,2003,Bismuth,Australia,0,0,0.0434217832959955,274.859888263652,0.091,0.477162453802149
65,2004,Bismuth,Australia,0,0,0.0457189354936686,337.862933298211,0.12,0.380991129113905
66,2005,Bismuth,Australia,0,0,0.0604069534526149,520.70793876154,0.124,0.487152850424314
67,2006,Bismuth,Australia,0,0,0.0258783875123562,287.250101387154,0.109,0.237416399195929
68,2007,Bismuth,Australia,0,0,0.0363842721739416,1127.91243739219,0.108,0.336891409017978
69,2008,Bismuth,Australia,0,0,0.040392253418593,1135.02232106246,0.115,0.351236986248635
70,2009,Bismuth,Australia,0,0,0.0507228106816075,877.50462479181,0.126,0.402561989536568
71,2010,Bismuth,Australia,0,0,0.0608436453136797,1174.28235455402,0.134,0.454057054579699
72,2011,Bismuth,Australia,0,0,0.0569510740872093,1440.8621744064,0.132,0.431447530963707
73,2012,Bismuth,Australia,0,0,0.101508074020716,2263.63005066196,0.201,0.505015293635401
74,2013,Bismuth,Australia,0,0,0.0634936646064006,1219.07836044289,0.124,0.512045682309682
75,2014,Bismuth,Australia,0,0,0.0609074375993137,1498.32296494312,0.118,0.516164725417913
76,2015,Bismuth,Australia,0,0,0.0637111860618208,904.698842077855,0.127,0.501662882376542
77,2016,Bismuth,Australia,0,0,0.0660635235345215,659.974600109869,0.133,0.496718222064071
78,2002,Gold,Australia,0,0,2.67577526629533e-05,352.348245078521,0.076,0.000352075692933596
79,2003,Gold,Australia,0,0,3.85943101424553e-05,566.533076034,0.072,0.00053603208531188
80,2004,Gold,Australia,0,0,2.45858595987638e-05,380.433635938822,0.07,0.000351226565696626
81,2005,Gold,Australia,0,0,1.86752425298987e-05,304.543489365747,0.067,0.000278734963132817
82,2006,Gold,Australia,0,0,2.26829905896827e-05,490.106376525508,0.067,0.000338552098353472
83,2007,Gold,Australia,0,0,1.94276968207752e-05,456.030453916861,0.066,0.000294359042739018
84,2008,Gold,Australia,0,0,2.89287608000851e-05,788.427716374065,0.064,0.00045201188750133
85,2009,Gold,Australia,0,0,2.60918162397732e-05,846.141331103828,0.061,0.000427734692455298
86,2010,Gold,Australia,0,0,2.05893358410395e-05,810.694258867397,0.059,0.000348971793915924
87,2011,Gold,Australia,0,0,1.34466093008557e-05,611.202989588236,0.058,0.000231838091394063
88,2012,Gold,Australia,0,0,0.0,0.0,0.059,0.0
89,2013,Gold,Australia,0,0,0.0,0.0,0.057,0.0
90,2014,Gold,Australia,0,0,7.77116756227377e-06,292.196769002604,0.057,0.000136336273022347
91,2015,Gold,Australia,0,0,0.0,0.0,0.056,0.0
92,2016,Gold,Australia,0,0,1.03121020349422e-05,440.372302559333,0.056,0.000184144679195397
93,2002,Molybdenum,Australia,0,0,0.0896720308719525,742.484415619767,0.188,0.476978887616769
94,2003,Molybdenum,Australia,0,0,0.0692697339035007,817.382860061308,0.19,0.36457754686053
95,2004,Molybdenum,Australia,0,0,0.0644548846947784,2365.49426829837,0.2,0.322274423473892
96,2005,Molybdenum,Australia,0,0,0.035403244344,2481.7674285144,0.216,0.163903909
97,2006,Molybdenum,Australia,0,0,0.0245592773336,1340.93654241456,0.212,0.1158456478
98,2007,Molybdenum,Australia,0,0,0.0467701294037524,3124.24464417066,0.221,0.211629544813359
99,2008,Molybdenum,Australia,0,0,0.0505453881881667,3184.3594558545,0.231,0.218811204277778
100,2009,Molybdenum,Australia,0,0,0.0214446215666383,553.271236419269,0.243,0.0882494714676475
101,2010,Molybdenum,Australia,0,0,0.0,0.0,0.242,0.0
102,2011,Molybdenum,Australia,0,0,0.0,0.0,0.242,0.0
103,2012,Molybdenum,Australia,0,0,0.0,0.0,0.263,0.0
104,2013,Molybdenum,Australia,0,0,0.0,0.0,0.261,0.0
105,2014,Molybdenum,Australia,0,0,0.07466816058,1926.438542964,0.26,0.287185233
106,2015,Molybdenum,Australia,0,0,0.0,0.0,0.283,0.0
107,2016,Molybdenum,Australia,0,0,0.089961188699,1295.4411172656,0.281,0.320146579
108,2002,Nickel,Australia,0,0,1.63681726648142e-05,0.146454879645331,0.116,0.00014110493676564
109,2003,Nickel,Australia,0,0,1.06393601118363e-05,0.128678698415014,0.115,9.2516174885533e-05
110,2004,Nickel,Australia,0,0,5.40362490997491e-05,0.878502425176536,0.117,0.000461848282903838
111,2005,Nickel,Australia,0,0,1.0315378101455e-05,0.173411614955998,0.105,9.82416962043336e-05
112,2006,Nickel,Australia,0,0,5.38656564450383e-07,0.0145283593683766,0.101,5.33323331138993e-06
113,2007,Nickel,Australia,0,0,8.6654406308299e-07,0.0338063102242441,0.111,7.80670327101792e-06
114,2008,Nickel,Australia,0,0,5.60939604250005e-06,0.115154618228959,0.11,5.09945094772732e-05
115,2009,Nickel,Australia,0,0,4.28721877007428e-07,0.00651318991490332,0.108,3.96964700932804e-06
116,2010,Nickel,Australia,0,0,0.0,0.0,0.112,0.0
117,2011,Nickel,Australia,0,0,1.84258220675127e-06,0.0380322786840013,0.135,1.36487570870464e-05
118,2012,Nickel,Australia,0,0,1.0644961468082802e-09,1.69541769054081e-05,0.188,5.6622135468525305e-09
119,2013,Nickel,Australia,0,0,0.0,0.0,0.226,0.0
120,2014,Nickel,Australia,0,0,1.41606163626651e-07,0.00221055434578692,0.102,1.38829572182991e-06
121,2015,Nickel,Australia,0,0,0.00215934820285055,26.1762667194152,0.1,0.0215934820285055
122,2016,Nickel,Australia,0,0,0.00383920719900105,39.1751934744627,0.087,0.0441288183793224
123,2017,Nickel,Australia,0,0,0.000950416893833011,10.165801658972,0.093,0.0102195364928281
124,2002,Zinc,Australia,0,0,0.0,0.0,0.104,0.0
125,2003,Zinc,Australia,0,0,0.0063665493035309,6.61853732496465,0.111,0.0573563000318099
126,2004,Zinc,Australia,0,0,0.0035417211498943,4.36435672138025,0.117,0.0302711209392676
127,2005,Zinc,Australia,0,0,0.00399135913283334,6.2862309798472,0.116,0.0344082683864943
128,2006,Zinc,Australia,0,0,0.00277145146139299,10.0941805126855,0.121,0.0229045575321735
129,2007,Zinc,Australia,0,0,0.00384449864655801,13.0622223814914,0.126,0.0305118940203016
130,2008,Zinc,Australia,0,0,0.0,0.0,0.129,0.0
131,2009,Zinc,Australia,0,0,0.0,0.0,0.129,0.0
132,2010,Zinc,Australia,0,0,0.00538596358776108,11.6376669626189,0.139,0.0387479394802955
133,2011,Zinc,Australia,0,0,0.00380318584298046,7.51722500980145,0.146,0.0260492181026059
134,2012,Zinc,Australia,0,0,0.0065859616901061,11.658996260761,0.168,0.0392021529172982
135,2013,Zinc,Australia,0,0,0.0104371730587755,18.1756062797435,0.181,0.057663939551246
136,2014,Zinc,Australia,0,0,0.010111218390493,20.1908897796077,0.176,0.0574501044914377
137,2015,Zinc,Australia,0,0,0.00731738269328874,14.4442207412442,0.166,0.0440806186342695
